timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
640089810,640088844,0.0,-0.0,0.0,0.15909097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640111839,640110463,0.0,-0.0,0.0,0.17727278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640133510,640132491,0.0,-0.0,0.0,0.19772734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640155358,640154335,0.0,-0.0,0.0,0.21818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640176943,640175975,0.0,-0.0,0.0,0.25000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640198591,640197602,0.0,-0.0,0.0,0.2636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640220200,640219217,0.0,-0.0,0.0,0.27045462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640242118,640240858,0.0,-0.0,0.0,0.29318187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640263911,640262749,0.0,-0.0,0.0,0.3022728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640285593,640284617,0.0,-0.0,0.0,0.31363642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640307205,640306231,0.0,-0.0,0.0,0.3204546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640328880,640327903,0.0,-0.0,0.0,0.33181822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640350591,640349584,0.0,-0.0,0.0,0.34772733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640372222,640371219,0.0,-0.0,0.0,0.3636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640394000,640393015,0.0,-0.0,0.0,0.37727278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640415599,640414634,0.0,-0.0,0.0,0.3863637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640437208,640436217,0.0,-0.0,0.0,0.39090914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640458930,640457959,0.0,-0.0,0.0,0.40000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640480595,640479623,0.0,-0.0,0.0,0.4113637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640502687,640501722,0.0,-0.0,0.0,0.42500004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640524497,640523486,0.0,-0.0,0.0,0.4363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640546134,640545151,0.0,-0.0,0.0,0.44318187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640567912,640566879,0.0,-0.0,0.0,0.44772732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
